,windSpeed,humidity,temperature,Affluent_Achievers,Rising_Prosperity,Comfortable_Communities,Financially_Stretched,Urban_Adversity,Not_Private_Households,hour,day_of_week,month
2012-05-01 13:00:00,1.67,0.81,15.98,49.191000200000005,373.6659999000001,167.66600010000008,85.314,120.53099999999998,3.202,13,1,5
2012-05-01 14:00:00,2.61,0.74,15.84,46.86600000000001,353.64699980000034,165.54100019999993,78.815,121.59899980000004,4.546,14,1,5
2012-05-01 15:00:00,2.45,0.66,17.24,48.87599990000001,367.0210002999999,189.79500019999998,86.285,132.4870001,4.612,15,1,5
2012-05-01 16:00:00,2.74,0.64,17.22,50.486,410.98599999999993,218.06900030000003,105.9729998,158.5120001,3.8689999999999998,16,1,5
2012-05-01 17:00:00,2.9,0.6,16.78,63.260999999999996,438.25699979999996,249.1869998,125.3960001,159.1659999,3.803,17,1,5
2012-05-01 18:00:00,2.32,0.61,16.19,69.365,494.9620002000004,244.50500009999996,130.71999989999998,173.71600010000003,4.752,18,1,5
2012-05-01 19:00:00,1.1,0.68,14.65,75.3319998,546.0490006,253.44599999999997,126.11099979999999,167.04399999999993,8.488,19,1,5
2012-05-01 20:00:00,0.72,0.74,14.18,83.3580002,589.2270003000003,270.3629999999999,139.0889999,183.16600020000007,5.648,20,1,5
2012-05-01 21:00:00,0.54,0.9,13.07,86.4200002,552.6129989999998,261.43799999999993,129.72300019999997,164.04799989999998,5.8890001000000005,21,1,5
2012-05-01 22:00:00,1.4,0.91,12.52,66.24300000000001,430.2519996,201.63299989999993,99.45100010000002,129.29700000000005,3.7580000000000005,22,1,5
2012-04-02 23:00:00,1.24,0.67,9.51,29.679,215.10600000000022,86.73699990000001,35.6,61.50399999999999,2.4650000000000003,23,0,4
2012-04-03 00:00:00,0.86,0.71,8.63,23.717,227.99400050000014,87.13399989999999,26.456000000000003,98.0259997,2.2579999999999996,0,1,4
2012-04-03 01:00:00,1.22,0.73,8.06,18.271,224.6039992000002,88.4719999,22.419999999999998,106.92000000000002,2.6980000000000004,1,1,4
2012-04-03 02:00:00,1.16,0.8,7.44,15.792000000000002,193.55999980000013,66.94400000000002,20.971999999999998,71.42399969999998,2.656,2,1,4
2012-04-03 03:00:00,1.26,0.81,6.81,15.677000000000001,170.5069996,58.4850001,19.581,53.09600000000001,2.5900000000000003,3,1,4
2012-04-03 04:00:00,0.98,0.86,5.5,15.888000000000002,170.15199970000003,58.46200009999999,22.755,53.113,2.402,4,1,4
